ds,yhat,yhat_lower,yhat_upper
2024-05-30,1457.5476448755187,1422.192474734463,1495.536167923506
2024-05-31,1460.66719832354,1422.0645581190804,1496.944265534857
2024-06-03,1466.9929927550675,1431.3028428476018,1505.1441913659717
2024-06-04,1463.0590785093473,1424.2254378985956,1498.4293851539528
2024-06-05,1465.66801781553,1429.3127713179347,1503.955194062176
2024-06-06,1466.953088390761,1432.2874204200227,1503.8241170395067
2024-06-07,1470.0726418387703,1434.6929943090056,1508.49062178378
2024-06-10,1476.3984362703045,1440.2404605497036,1512.1551233161056
2024-06-11,1472.464522024584,1435.0073874013794,1510.4109671567944
2024-06-12,1475.073461330766,1436.7814573760247,1514.1724950604855
2024-06-13,1476.3585319060032,1439.9735567261926,1514.8658124083925
2024-06-14,1479.4780853540174,1441.0777540694173,1516.9557862180286
2024-06-18,1481.869965539831,1445.6807132763574,1521.837444286461
2024-06-19,1484.4789048460057,1443.8330667123237,1520.3137592209637
2024-06-20,1485.7639754212387,1448.1686501451288,1522.1758382264093
2024-06-21,1488.8835288692576,1451.5413335527771,1527.6556775019392
2024-06-24,1495.2093233007781,1459.2172323876844,1532.6299790825487
2024-06-25,1491.2754090477215,1455.6571325700068,1529.579534756866
2024-06-26,1493.8843483465578,1458.058966754645,1532.8653114418444
2024-06-27,1495.1694189144496,1455.4263922380237,1534.331486946069
2024-06-28,1498.2889723551145,1460.4171069815586,1536.1728164437955
2024-07-01,1504.6147667645942,1469.605559252649,1540.9852936980385
2024-07-02,1500.68085251154,1465.5070406664906,1537.6621972189641
2024-07-03,1503.2897918103818,1467.5867306474927,1539.063903576962
2024-07-04,1504.574862378261,1467.9267270371322,1538.921670845719
2024-07-05,1507.694415818934,1468.888000398686,1545.552809525932
2024-07-08,1514.0202102284118,1478.7005744323976,1550.1501458860607
2024-07-09,1510.0862959753688,1472.551274409349,1546.3138301215172
2024-07-10,1512.695235274196,1475.585258282389,1548.2769844086852
2024-07-11,1513.9803058420828,1476.8596417824133,1551.8423093138042
2024-07-12,1517.099859282761,1476.9851000993033,1553.0793330840509
2024-07-15,1523.425653692245,1484.4082444879448,1559.408916617464
2024-07-16,1517.8491458905141,1479.1572746909521,1554.473236057138
2024-07-18,1518.457968659877,1482.75605155263,1556.9053141634363
2024-07-19,1519.934928551879,1483.5786299022,1555.7852569475613
2024-07-22,1521.332942315345,1484.9859036664197,1560.3948875643016
2024-07-23,1515.7564345136138,1479.30965956145,1555.1220152843473
2024-07-24,1516.7227802637751,1480.9282995561787,1554.0977387715873
2024-07-25,1516.3652572829758,1480.9000193837428,1553.9325175141587
2024-07-26,1517.8422171749792,1479.935567708441,1556.3736944739458
2024-07-29,1519.2402309384443,1480.9696899097132,1556.5830518456078
2024-07-30,1513.6637231367158,1475.2965820005084,1552.649683338629
2024-07-31,1514.6300688868744,1477.6230712390695,1554.9721759913439
2024-08-01,1514.2725459060873,1476.8416453565328,1551.0035544667346
2024-08-02,1515.7495057980752,1477.6913639671436,1554.8131606858456
2024-08-05,1517.147519561543,1482.2705539884123,1552.859829341514
2024-08-06,1511.5710117598157,1475.260915153034,1550.310395628872
2024-08-07,1512.5373575099763,1473.4939455863914,1548.2796528533636
2024-08-08,1510.4275220929915,1472.7800996119438,1547.8982577986997
2024-08-09,1510.1521695487968,1471.3064005935812,1545.2139320628257
2024-08-12,1506.2932460036914,1469.910413902421,1542.2593690259898
2024-08-13,1498.9644257657549,1461.0235117805676,1538.5687609297743
2024-08-14,1498.178459079725,1461.7686744757084,1536.9903266077472
2024-08-16,1495.7932711185313,1456.6045923854738,1535.1973397627164
2024-08-19,1491.9343475734324,1457.0791501570675,1530.369649529198
2024-08-20,1484.6055273354962,1444.2866855391326,1521.6422528967357
2024-08-21,1483.8195606494683,1448.7157015685452,1521.8436107025777
2024-08-22,1481.7097252324802,1446.0518964588896,1519.588829708122
2024-08-23,1481.4343726882757,1444.868138205881,1519.5991291077437
2024-08-26,1477.5754491431726,1439.5571837445518,1513.2754200638994
2024-08-27,1470.2466289052468,1431.2435783198075,1507.4266647052825
2024-08-28,1469.460662219217,1432.4729171419565,1508.2049884051555
2024-08-29,1467.3508268022263,1429.9417242913464,1505.7344462832077
2024-08-30,1467.07547425802,1431.7514784392263,1506.3096573686746
2024-09-02,1463.2165507129132,1425.2640985901326,1500.6648356015698
2024-09-03,1455.8877304749901,1417.388756498986,1494.5623847418299
2024-09-04,1455.1017637889554,1418.696213967674,1490.9790417471527
2024-09-05,1452.9919283719728,1416.882974410098,1491.5529683859263
2024-09-06,1452.716575827771,1412.900647103857,1489.1837711886103
2024-09-09,1448.8576522826543,1408.089574738253,1487.9917020225394
2024-09-10,1441.5288320447332,1401.9060731231962,1478.5498395396776
2024-09-11,1440.742865358704,1404.1607695859361,1478.2246493693553
2024-09-12,1438.633029941715,1402.8917606864122,1473.6082206296699
